City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,78.42,clear sky,-23.1203,-134.9692,People ThankYou
9,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
10,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
19,Yarada,IN,84.52,broken clouds,17.65,83.2667,Yarada Jungle Beach Resorts
20,Butaritari,KI,81.52,few clouds,3.0707,172.7902,Isles Sunset Lodge
21,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
24,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
34,Puerto Ayora,EC,78.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Hithadhoo,MV,82.53,scattered clouds,-0.6,73.0833,Scoop Guest House
37,Deogarh,IN,75.45,clear sky,21.5333,84.7333,Amit Henej House
39,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
40,Bambous Virieux,MU,77.25,moderate rain,-20.3428,57.7575,Casa Tia Villa
50,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
58,Buraydah,SA,77.45,clear sky,26.326,43.975,Mövenpick Qassim
70,Tautira,PF,81.34,few clouds,-17.7333,-149.15,Pension Oaoa
72,Touros,BR,80.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
76,Mauriti,BR,76.64,overcast clouds,-7.3892,-38.7744,Hotel Pedra da Letra
77,Faanui,PF,80.42,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
79,Akyab,MM,80.8,clear sky,20.15,92.9,Hotel Memory
80,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
82,Caravelas,BR,77.29,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
83,Hilo,US,78.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
89,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
90,Karratha,AU,83.43,few clouds,-20.7377,116.8463,ibis Styles Karratha
92,Atar,MR,88.0,overcast clouds,20.5169,-13.0499,Oumou Elghoura
93,Bacabal,BR,77.49,overcast clouds,-4.2917,-44.7917,Rancho Sol Nascente
103,Itarema,BR,79.16,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
106,Kapaa,US,76.48,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
111,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
119,Mangrol,IN,79.57,clear sky,21.1167,70.1167,Hotel The Royal Honours
120,Cabedelo,BR,83.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
129,Bengkulu,ID,75.47,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
136,Harper,LR,77.52,overcast clouds,4.375,-7.7169,Screensaver
140,Basco,PH,76.41,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
148,Hobyo,SO,82.81,moderate rain,5.3505,48.5268,Iftin hotel hobyo
149,Keti Bandar,PK,80.02,scattered clouds,24.1447,67.4497,Haji laloo memon house
156,Atuona,PF,79.9,few clouds,-9.8,-139.0333,Villa Enata
158,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
160,Matara,LK,79.02,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
161,Bonoua,CI,82.02,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
162,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
164,Cockburn Town,TC,78.03,few clouds,21.4612,-71.1419,Osprey Beach Hotel
169,Salalah,OM,79.63,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
174,Rayong,TH,84.79,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
176,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
186,Luganville,VU,81.12,light rain,-15.5333,167.1667,The Espiritu Hotel
188,Carutapera,BR,77.85,moderate rain,-1.195,-46.02,Lidera
189,Kutum,SD,78.84,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
190,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
194,Gizo,SB,82.08,overcast clouds,-8.103,156.8419,Imagination Island
200,Kirakira,SB,82.15,broken clouds,-10.4544,161.9205,SanBiz Lodge
206,Arlit,NE,79.74,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
211,Luanda,AO,77.41,light rain,-8.8368,13.2343,EPIC SANA Luanda
216,Itaituba,BR,89.76,few clouds,-4.2761,-55.9836,Hotel Campos
218,Kroya,ID,78.8,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
219,San Patricio,US,87.08,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
226,Lorengau,PG,81.81,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
228,Rio Verde De Mato Grosso,BR,76.77,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
236,Radhanpur,IN,81.21,clear sky,23.8333,71.6,"HONEST - HOTEL (VIRAT HOTEL AND GUEST HOUSE, RADHANPUR))"
238,Tual,ID,83.86,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
245,Calabozo,VE,83.39,overcast clouds,8.9242,-67.4293,Hotel Giardini
247,Kavieng,PG,83.73,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
254,Guarapari,BR,75.88,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
255,Vanimo,PG,77.45,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
256,Puerto Palomas,MX,83.03,clear sky,31.7667,-107.6167,Hotel San Carlos
261,Codajas,BR,82.29,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
264,Eyl,SO,82.71,scattered clouds,7.9803,49.8164,Amiin Hotel
268,Kieta,PG,80.04,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
270,Hosangadi,IN,75.74,clear sky,13.7,74.95,Arghya family Restaurant
272,Huicungo,PE,84.58,broken clouds,-7.2833,-76.8,Gran Pajaten Trek
274,Hambantota,LK,79.43,broken clouds,6.1241,81.1185,Bungalow 63
276,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
277,Ambagarh Chauki,IN,82.6,clear sky,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
278,Kathu,TH,78.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
