City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,58.51,71,3,1.81,clear sky
1,Severo-Kurilsk,RU,50.6789,156.125,31.19,77,86,7.63,overcast clouds
2,Verkhoyansk,RU,67.5447,133.385,-1.8,98,57,1.66,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,78.42,69,1,12.66,clear sky
4,Provideniya,RU,64.3833,-173.3,32.11,93,100,24.61,snow
5,Carnarvon,AU,-24.8667,113.6333,66.27,88,100,6.91,overcast clouds
6,Chokurdakh,RU,70.6333,147.9167,-1.16,99,91,4.36,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,40.48,81,0,1.74,clear sky
8,Korla,CN,41.7597,86.1469,55.9,15,2,6.71,clear sky
9,Souillac,MU,-20.5167,57.5167,77.38,94,75,1.14,light rain
10,Vila Velha,BR,-20.3297,-40.2925,78.75,77,0,14.97,clear sky
11,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,13.8,broken clouds
12,Westport,US,41.1415,-73.3579,51.28,36,75,13.0,broken clouds
13,Camana,PE,-16.6228,-72.7111,69.48,73,80,7.49,broken clouds
14,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,14.97,light snow
15,Hermanus,ZA,-34.4187,19.2345,61.81,89,36,8.46,scattered clouds
16,Tasiilaq,GL,65.6145,-37.6368,33.31,98,100,11.95,light snow
17,Lubyany,RU,56.0378,51.4,33.6,99,100,8.86,light snow
18,Wenatchee,US,47.4235,-120.3103,55.36,37,17,8.01,few clouds
19,Yarada,IN,17.65,83.2667,84.52,89,75,5.75,broken clouds
20,Butaritari,KI,3.0707,172.7902,81.52,74,12,12.35,few clouds
21,Cayenne,GF,4.9333,-52.3333,84.24,1,75,14.97,broken clouds
22,Albany,US,42.6001,-73.9662,47.17,48,93,4.0,overcast clouds
23,Todos Santos,MX,23.45,-110.2167,70.66,78,99,6.96,overcast clouds
24,Tiarei,PF,-17.5333,-149.3333,84.22,73,10,13.2,clear sky
25,Lisakovsk,KZ,52.5369,62.4936,46.09,62,100,6.58,overcast clouds
26,Busselton,AU,-33.65,115.3333,54.81,75,55,1.9,broken clouds
27,Ushuaia,AR,-54.8,-68.3,51.46,66,75,0.0,broken clouds
28,Rundu,NA,-17.9333,19.7667,65.93,88,46,3.4,moderate rain
29,Saldanha,ZA,-33.0117,17.9442,59.05,82,0,10.4,clear sky
30,Ouargaye,BF,11.5033,0.0572,93.11,12,100,15.93,overcast clouds
31,Port Augusta,AU,-32.5,137.7667,64.69,74,100,16.55,heavy intensity rain
32,Grindavik,IS,63.8424,-22.4338,42.75,75,75,9.22,broken clouds
33,Bluff,NZ,-46.6,168.3333,40.8,83,7,8.25,clear sky
34,Puerto Ayora,EC,-0.7393,-90.3518,78.76,88,72,9.95,light rain
35,Hithadhoo,MV,-0.6,73.0833,82.53,75,39,6.17,scattered clouds
36,Livani,LV,56.3543,26.1758,34.09,76,30,4.47,scattered clouds
37,Deogarh,IN,21.5333,84.7333,75.45,75,2,0.6,clear sky
38,Brae,GB,60.3964,-1.353,47.32,81,100,15.75,overcast clouds
39,Vaini,TO,-21.2,-175.2,80.76,89,75,5.75,broken clouds
40,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,1.14,moderate rain
41,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,62,40,10.36,scattered clouds
42,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,72,20,13.89,few clouds
43,Punta Arenas,CL,-53.15,-70.9167,48.31,87,75,9.22,light rain
44,Camopi,GF,3.1655,-52.3158,74.64,96,100,5.61,moderate rain
45,East London,ZA,-33.0153,27.9116,64.92,81,76,5.82,broken clouds
46,Tezu,IN,27.9167,96.1667,60.82,93,100,9.01,light rain
47,Qaanaaq,GL,77.484,-69.3632,-13.29,79,2,1.83,clear sky
48,Bredasdorp,ZA,-34.5322,20.0403,59.95,93,66,5.01,broken clouds
49,Ixtapa,MX,20.7,-105.2,94.19,22,70,7.78,broken clouds
50,Avarua,CK,-21.2078,-159.775,82.45,74,20,6.91,few clouds
51,New Norfolk,AU,-42.7826,147.0587,54.91,75,100,0.74,overcast clouds
52,Rawson,AR,-43.3002,-65.1023,64.0,63,1,24.56,clear sky
53,Hobart,AU,-42.8794,147.3294,55.26,90,75,11.5,broken clouds
54,Herat,AF,34.5,62.0,52.3,76,100,16.31,overcast clouds
55,Rocha,UY,-34.4833,-54.3333,62.58,75,100,7.96,overcast clouds
56,Jamestown,US,42.097,-79.2353,42.53,40,40,8.05,scattered clouds
57,Mporokoso,ZM,-9.3727,30.125,61.21,96,8,5.14,clear sky
58,Buraydah,SA,26.326,43.975,77.45,16,0,11.07,clear sky
59,San Quintin,MX,30.4833,-115.95,67.59,60,6,20.27,clear sky
60,Semey,KZ,50.4111,80.2275,54.23,32,48,8.59,scattered clouds
61,Paamiut,GL,61.994,-49.6678,28.99,78,100,2.19,overcast clouds
62,Dikson,RU,73.5069,80.5464,-7.64,100,87,4.9,overcast clouds
63,Saskylakh,RU,71.9167,114.0833,27.48,96,100,14.0,light snow
64,Upernavik,GL,72.7868,-56.1549,-2.15,81,100,15.21,overcast clouds
65,Merauke,ID,-8.4667,140.3333,77.95,88,86,6.06,overcast clouds
66,Port Alfred,ZA,-33.5906,26.891,64.6,82,26,7.72,scattered clouds
67,Sorland,NO,67.667,12.6934,42.67,84,100,16.37,overcast clouds
68,Krasnoselkup,RU,65.7,82.4667,5.34,93,79,10.04,broken clouds
69,Klaksvik,FO,62.2266,-6.589,47.32,95,100,10.27,overcast clouds
70,Tautira,PF,-17.7333,-149.15,81.34,72,20,13.4,few clouds
71,Ilulissat,GL,69.2167,-51.1,5.94,88,27,3.67,scattered clouds
72,Touros,BR,-5.1989,-35.4608,80.2,77,70,7.58,broken clouds
73,Hit,IQ,33.6416,42.8251,69.69,19,84,2.68,broken clouds
74,Igarka,RU,67.4667,86.5833,-0.67,97,73,9.44,broken clouds
75,Yellowknife,CA,62.456,-114.3525,18.12,45,20,10.36,few clouds
76,Mauriti,BR,-7.3892,-38.7744,76.64,77,99,1.74,overcast clouds
77,Faanui,PF,-16.4833,-151.75,80.42,75,31,11.63,moderate rain
78,Mar Del Plata,AR,-38.0023,-57.5575,66.22,85,0,11.99,light rain
79,Akyab,MM,20.15,92.9,80.8,85,10,2.91,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,69,75,13.8,broken clouds
81,Xining,CN,36.6167,101.7667,34.11,52,74,0.87,broken clouds
82,Caravelas,BR,-17.7125,-39.2481,77.29,66,100,10.89,overcast clouds
83,Hilo,US,19.7297,-155.09,78.28,85,100,5.75,overcast clouds
84,Nyurba,RU,63.2842,118.3319,34.54,98,100,9.93,overcast clouds
85,Te Anau,NZ,-45.4167,167.7167,48.69,85,36,1.1,scattered clouds
86,Pevek,RU,69.7008,170.3133,3.76,92,30,2.06,scattered clouds
87,Norilsk,RU,69.3535,88.2027,4.42,96,100,5.99,overcast clouds
88,Batsfjord,NO,70.6345,29.7185,39.13,93,100,19.57,light rain
89,Georgetown,MY,5.4112,100.3354,82.33,99,20,1.14,few clouds
90,Karratha,AU,-20.7377,116.8463,83.43,35,18,10.27,few clouds
91,Cape Town,ZA,-33.9258,18.4232,62.91,81,0,14.0,clear sky
92,Atar,MR,20.5169,-13.0499,88.0,11,100,5.06,overcast clouds
93,Bacabal,BR,-4.2917,-44.7917,77.49,93,100,2.77,overcast clouds
94,Vorkuta,RU,67.5,64.0,16.77,94,100,9.73,overcast clouds
