City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-04-16 12:25:05,-21.2,-175.2,75.36,94,20,3.44
1,Punta Arenas,CL,2022-04-16 12:20:50,-53.15,-70.9167,41.11,81,75,9.22
2,Hofn,IS,2022-04-16 12:25:06,64.2539,-15.2082,46.24,97,100,6.49
3,Bluff,NZ,2022-04-16 12:25:06,-46.6,168.3333,52.81,59,95,10.22
4,Busselton,AU,2022-04-16 12:25:07,-33.65,115.3333,61.79,67,68,10.98
5,Rikitea,PF,2022-04-16 12:25:07,-23.1203,-134.9692,76.59,75,6,14.03
6,Kodiak,US,2022-04-16 12:25:08,57.79,-152.4072,38.71,87,100,18.41
7,Hermanus,ZA,2022-04-16 12:25:08,-34.4187,19.2345,68.81,53,30,21.83
8,Ushuaia,AR,2022-04-16 12:21:28,-54.8,-68.3,40.66,65,75,17.27
9,Kupang,ID,2022-04-16 12:25:09,-10.1667,123.5833,79.93,84,62,8.41
10,Cape Town,ZA,2022-04-16 12:20:33,-33.9258,18.4232,75.61,34,0,14.97
11,Avarua,CK,2022-04-16 12:25:09,-21.2078,-159.775,77.05,88,40,2.3
12,Arraial Do Cabo,BR,2022-04-16 12:25:10,-22.9661,-42.0278,73.26,73,75,14.97
13,Bengkulu,ID,2022-04-16 12:25:10,-3.8004,102.2655,80.67,79,96,1.86
14,Mtwara,TZ,2022-04-16 12:25:11,-10.2667,40.1833,84.29,72,22,10.29
15,Beringovskiy,RU,2022-04-16 12:25:11,63.05,179.3167,31.08,93,100,22.66
16,Ondjiva,AO,2022-04-16 12:25:11,-17.0667,15.7333,86.04,42,40,4.61
17,Vestmanna,FO,2022-04-16 12:25:12,62.1564,-7.1664,45.52,100,100,14.97
18,San Cristobal,VE,2022-04-16 12:25:12,7.7669,-72.225,68.18,78,100,4.56
19,Kununurra,AU,2022-04-16 12:25:12,-15.7667,128.7333,78.78,89,92,0.0
20,Namatanai,PG,2022-04-16 12:25:13,-3.6667,152.4333,80.56,82,47,7.16
21,Constitucion,CL,2022-04-16 12:25:13,-35.3333,-72.4167,51.96,81,0,4.56
22,Geraldton,AU,2022-04-16 12:25:13,-28.7667,114.6,72.01,73,88,13.8
23,Nsoko,SZ,2022-04-16 12:25:14,-27.0333,31.95,68.9,77,99,10.22
24,Mataura,NZ,2022-04-16 12:25:14,-46.1927,168.8643,52.48,90,91,2.84
25,Mulchen,CL,2022-04-16 12:25:14,-37.7167,-72.2333,47.26,86,4,5.14
26,Kenai,US,2022-04-16 12:25:15,60.5544,-151.2583,35.1,85,100,8.05
27,Novopokrovka,UA,2022-04-16 12:25:15,49.8425,36.5477,62.06,52,86,16.84
28,New Norfolk,AU,2022-04-16 12:25:15,-42.7826,147.0587,53.71,73,100,2.33
29,Mar Del Plata,AR,2022-04-16 12:25:16,-38.0023,-57.5575,58.08,100,100,9.22
30,Port Hardy,CA,2022-04-16 12:25:16,50.6996,-127.4199,41.0,93,20,3.44
31,Anadyr,RU,2022-04-16 12:25:16,64.75,177.4833,30.7,80,20,17.9
